accept.mu,screed.alpha,speed,shoes
7.666666666666667,C,80,shoe
8.87,H,100,bare
9.043333333333331,H,80,bare
9.113333333333332,H,100,shoe
9.67,H,80,shoe
7.93,I,100,bare
8.686666666666667,I,80,bare
8.68,I,100,shoe
8.19,I,80,shoe
7.153333333333333,A,100,bare
8.233333333333334,A,80,bare
8.946666666666665,A,100,shoe
9.026666666666667,A,80,shoe
8.303333333333333,C,100,bare
7.949999999999999,C,80,bare
8.57,C,100,shoe
7.210000000000001,C,80,shoe
7.506666666666667,H,100,bare
7.916666666666666,H,80,bare
8.363333333333333,H,100,shoe
8.493333333333334,H,80,shoe
6.236666666666667,I,100,bare
7.113333333333333,I,80,bare
8.366666666666667,I,100,shoe
8.530000000000001,I,80,shoe
4.796666666666667,A,100,bare
5.493333333333333,A,80,bare
8.78,A,100,shoe
6.573333333333333,A,80,shoe
3.923333333333334,C,100,bare
5.173333333333334,C,80,bare
3.353333333333333,C,100,shoe
5.8533333333333335,C,80,shoe
5.996666666666666,H,100,bare
6.236666666666666,H,80,bare
7.673333333333334,H,100,shoe
8.5,H,80,shoe
1.5533333333333332,I,100,bare
3.19,I,80,bare
5.449999999999999,I,100,shoe
5.49,I,80,shoe
7.12,A,100,bare
8.799999999999999,A,80,bare
5.32,A,100,shoe
9.3,A,80,shoe
8.053333333333333,C,100,bare
8.193333333333333,C,80,bare
8.473333333333333,C,100,shoe
8.166666666666668,C,80,shoe
5.433333333333334,H,100,bare
5.52,H,80,bare
8.723333333333333,H,100,shoe
8.55,H,80,shoe
5.84,I,100,bare
7.84,I,80,bare
8.11,I,100,shoe
9.303333333333333,I,80,shoe
7.113333333333333,A,100,bare
9.606666666666667,A,80,bare
9.443333333333332,A,100,shoe
9.276666666666666,A,80,shoe
8.086666666666666,C,100,bare
7.423333333333334,C,80,bare
8.676666666666666,C,100,shoe
8.2,C,80,shoe
7.43,H,100,bare
8.553333333333333,H,80,bare
9.236666666666666,H,100,shoe
8.403333333333332,H,80,shoe
5,I,100,bare
5.59,I,80,bare
5.443333333333333,I,100,shoe
5.8533333333333335,I,80,shoe
4.68,A,100,bare
9.5,A,100,shoe
9.17,A,80,shoe
7.646666666666667,C,100,bare
5.49,C,80,bare
8.975,C,100,shoe
7.67,C,80,shoe
3.466666666666667,H,100,bare
6.123333333333333,H,80,bare
8.595,H,100,shoe
9.063333333333333,H,80,shoe
1.47,I,100,bare
4.81,I,80,bare
9.053333333333333,I,100,shoe
9.193333333333332,I,80,shoe
9.38,A,100,bare
9.783333333333331,A,80,bare
9.69,A,100,shoe
9.776666666666667,A,80,shoe
9.656666666666666,C,100,bare
9.736666666666666,C,80,bare
9.913333333333334,C,100,shoe
8.6466666666666665,C,80,shoe
9.63,H,100,bare
9.556666666666668,H,80,bare
9.976666666666668,H,100,shoe
9.686666666666667,H,80,shoe
8.023333333333333,I,100,bare
9.1,I,80,bare
9.556666666666668,I,100,shoe
9.826666666666666,I,80,shoe
3.8,A,100,bare
7.573333333333333,A,80,bare
6.333333333333333,A,100,shoe
9.802518102195062,A,80,shoe
5.753333333333333,C,100,bare
5.793333333333333,C,80,bare
8.4,C,100,shoe
4.916666666666667,C,80,shoe
4.36,H,100,bare
5.34,H,80,bare
9.093333333333334,H,100,shoe
9.802518102195062,H,80,shoe
1.4,I,100,bare
3.6333333333333337,I,80,bare
9.346666666666666,I,100,shoe
7.266666666666667,I,80,shoe
9.565,A,100,bare
9.565,A,80,bare
9.48,A,80,shoe
9.52,C,100,bare
9.403333333333332,C,80,bare
9.8,C,100,shoe
9.395,C,80,shoe
9.125,H,100,bare
9.373333333333331,H,80,bare
9.22,H,100,shoe
9.555,H,80,shoe
9.05,I,100,bare
9.623333333333331,I,100,shoe
9.44,I,80,shoe
1.31,A,100,bare
0.7200000000000001,A,80,bare
1.153333333333333,A,100,shoe
2.6266666666666665,A,80,shoe
2.1133333333333333,C,100,bare
1.336666666666667,C,80,bare
2.986666666666667,C,100,shoe
1.4733333333333334,C,80,shoe
2.243333333333333,H,100,bare
3.96,H,80,bare
1.46,H,100,shoe
2.34,H,80,shoe
3.7,I,100,bare
1.5433333333333334,I,80,bare
2.2733333333333334,I,100,shoe
1.1433333333333335,I,80,shoe
5.253333333333333,A,100,bare
6.3,A,80,bare
8.606666666666666,A,100,shoe
7.206666666666667,A,80,shoe
5.716666666666667,C,100,bare
5.326666666666667,C,80,bare
6.453333333333333,C,100,shoe
6.993333333333333,C,80,shoe
4.666666666666667,H,100,bare
6.673333333333333,H,80,bare
7.306666666666667,H,100,shoe
6.683333333333334,H,80,shoe
4.496666666666666,I,100,bare
4.756666666666667,I,80,bare
5.61,I,100,shoe
5.609999999999999,I,80,shoe
7.276666666666666,A,100,bare
8.066666666666666,A,80,bare
9.376666666666669,A,100,shoe
7.876666666666666,A,80,shoe
7.333333333333333,C,100,bare
7.57,C,80,bare
8.42,C,100,shoe
6.8966666666666665,C,80,shoe
7.726666666666667,H,100,bare
7.45,H,80,bare
9.123333333333331,H,100,shoe
9.356666666666667,H,80,shoe
4.766666666666667,I,100,bare
6.456666666666666,I,80,bare
8.326666666666666,I,100,shoe
8.483333333333333,I,80,shoe
4.42,A,100,bare
6.38,A,80,bare
7.456666666666666,A,100,shoe
7,A,80,shoe
5.1433333333333335,C,100,bare
6.776666666666667,C,80,bare
6.5600000000000005,C,100,shoe
6.236666666666666,C,80,shoe
3.19,H,100,bare
5.06,H,80,bare
7.1000000000000005,H,100,shoe
7.109999999999999,H,80,shoe
3.8233333333333337,I,100,bare
4.22,I,80,bare
5.716666666666667,I,100,shoe
8.456666666666667,I,80,shoe
2.21,A,100,bare
3.27,A,80,bare
4.28,A,100,shoe
3.9533333333333336,A,80,shoe
4.956666666666667,C,100,bare
3.786666666666666,C,80,bare
3.37,C,100,shoe
3.2266666666666666,C,80,shoe
2.18,H,100,bare
2.24,H,80,bare
4.5,H,100,shoe
4.1,H,80,shoe
1.9866666666666668,I,100,bare
0.9,I,80,bare
3.4133333333333336,I,100,shoe
3.713333333333334,I,80,shoe
3.11,A,100,bare
4.26,A,80,bare
7.89,A,100,shoe
6.57,A,80,shoe
3.9366666666666665,C,100,bare
3.4299999999999997,C,80,bare
5.476666666666667,C,100,shoe
4.19,C,80,shoe
2.6133333333333333,H,100,bare
4.046666666666667,H,80,bare
5.12,H,100,shoe
4.34,H,80,shoe
2.58,I,100,bare
2.9,I,80,bare
5.203333333333333,I,100,shoe
6.483333333333333,I,80,shoe
7.766666666666667,A,100,bare
8.41,A,80,bare
9.54,A,100,shoe
9.68,A,80,shoe
7.543333333333333,C,100,bare
8.473333333333333,C,80,bare
9.263333333333334,C,100,shoe
9.133333333333333,C,80,shoe
5.753333333333334,H,100,bare
7.873333333333334,H,80,bare
9.503333333333334,H,100,shoe
9.273333333333332,H,80,shoe
5.029999999999999,I,100,bare
6.35,I,80,bare
8.773333333333333,I,100,shoe
8.323333333333334,I,80,shoe
4.513333333333334,A,100,bare
7.37,A,80,bare
8.726666666666667,A,100,shoe
8.776666666666667,A,80,shoe
5.496666666666666,C,100,bare
7.236666666666666,C,80,bare
8.620000000000001,C,100,shoe
7.1899999999999995,C,80,shoe
6.993333333333333,H,100,bare
5.91,H,80,bare
8.476666666666667,H,100,shoe
8.27,H,80,shoe
5.023333333333333,I,100,bare
5.623333333333334,I,80,bare
6.163333333333333,I,100,shoe
7.643333333333333,I,80,shoe
4.753333333333334,A,100,bare
6.57,A,80,bare
9.08,A,100,shoe
8.959999999999999,A,80,shoe
5.006666666666667,C,100,bare
6.21,C,80,bare
7.796666666666667,C,100,shoe
5.34,C,80,shoe
5.1066666666666665,H,100,bare
5.056666666666667,H,80,bare
6.776666666666666,H,100,shoe
7.783333333333333,H,80,shoe
2.5933333333333333,I,100,bare
4.683333333333334,I,80,bare
6.57,I,100,shoe
7.686666666666667,I,80,shoe
2.6,A,100,bare
5.13,A,80,bare
9.802518102195062,A,100,shoe
7.886666666666667,A,80,shoe
3.453333333333333,C,100,bare
5.043333333333333,C,80,bare
3.85,C,100,shoe
5.02,C,80,shoe
3.1533333333333333,H,100,bare
7.253333333333334,H,80,bare
4.673333333333334,H,100,shoe
4.876666666666667,H,80,shoe
2,I,100,bare
3.06,I,80,bare
4.9366666666666665,I,100,shoe
6.34,I,80,shoe
7.79,A,100,bare
8.633333333333333,A,80,bare
9.803333333333333,A,100,shoe
9.753333333333334,A,80,shoe
