SpecimenID,Species,Treatment,Number,StartDate,EndDate,Duration,Inoculant,InitialDryWeight,PostInoculationWeight,PostInnocDryWeight,PostExtractionWeight,ImpregnatedOilWeight,Retention.kg.m3,WoodWeight,RemainingOilWeight.g,EndWeightMinusWoodWeight,OilRemainingPerc,MCPostInoculation,RelativeMassLoss,OilExtract.g,OilExtract_rel,OilContent ,PetriDish
P-GM-MB-20,P,GM,180,28/07/2016,17/11/2016,16,gt,1.6844,2.1055,1.1415,1.0252,0.678,452,1.0064,0.1351,0.0188,0.2,0.84,0.32,0.12,0.1,0,plo5
P-GM-MB-21,P,GM,181,29/07/2016,23/09/2016,8,pm,1.7854,2.1067,1.386,1.0774,0.754,503,1.0314,0.3546,0.046,0.47,0.52,0.22,0.31,0.22,0,plo6
P-GM-MB-22,P,GM,182,29/07/2016,23/09/2016,8,pm,1.83,2.15,1.4473,1.1861,0.745,497,1.085,0.3623,0.1011,0.49,0.49,0.21,0.26,0.18,0,plo7
P-GM-MB-23,P,GM,183,29/07/2016,23/09/2016,8,pm,1.8447,2.1579,1.5672,1.107,0.773,515,1.0717,0.4955,0.0353,0.64,0.38,0.15,0.46,0.29,0,plo8
P-GM-MB-24,P,GM,184,29/07/2016,23/09/2016,8,pm,1.8567,2.1748,1.5183,1.2243,0.733,489,1.1237,0.3946,0.1006,0.54,0.43,0.18,0.29,0.19,0,tv1
P-GM-MB-25,P,GM,185,29/07/2016,23/09/2016,8,pm,1.7736,2.1262,1.4381,1.0844,0.722,481,1.0516,0.3865,0.0328,0.54,0.48,0.19,0.35,0.25,0,tv2
P-GM-MB-26,P,GM,186,29/07/2016,23/09/2016,8,pm,1.798,2.0973,1.3801,1.0907,0.722,481,1.076,0.3041,0.0147,0.42,0.52,0.23,0.29,0.21,0,tv3
P-GM-MB-27,P,GM,187,29/07/2016,23/09/2016,8,gt,1.807,2.0766,1.2848,1.0847,0.758,505,1.049,0.2358,0.0357,0.31,0.62,0.29,0.2,0.16,0,tv4
P-GM-MB-28,P,GM,188,29/07/2016,23/09/2016,8,gt,1.8105,2.0916,1.2811,1.0937,0.752,501,1.0585,0.2226,0.0352,0.3,0.63,0.29,0.19,0.15,0,tv5
P-GM-MB-29,P,GM,189,29/07/2016,23/09/2016,8,gt,1.8221,2.1071,1.3314,1.119,0.744,496,1.0781,0.2533,0.0409,0.34,0.58,0.27,0.21,0.16,0,tv6
P-GM-MB-3,P,GM,163,13/07/2016,02/11/2016,16,pm,1.3038,1.8205,1.1062,0.6745,0.726,484,0.5778,0.5284,0.0967,0.73,0.65,0.15,0.43,0.39,0,tv7
P-GM-MB-30,P,GM,190,29/07/2016,23/09/2016,8,gt,1.8067,2.1298,1.314,1.1563,0.721,481,1.0857,0.2283,0.0706,0.32,0.62,0.27,0.16,0.12,0,tv8
P-GM-MB-31,P,GM,191,29/07/2016,23/09/2016,8,gt,1.833,2.1136,1.3152,1.1188,0.718,479,1.115,0.2002,0.0038,0.28,0.61,0.28,0.2,0.15,0,plo9
P-GM-MB-32,P,GM,192,04/08/2016,29/09/2016,8,gt,1.8013,2.22,1.3474,1.1253,0.699,466,1.1023,0.2451,0.023,0.35,0.65,0.25,0.22,0.16,0,tv kont2
P-GM-MB-33,P,GM,193,04/08/2016,29/09/2016,8,gt,1.836,2.239,1.3246,1.1201,0.718,479,1.118,0.2066,0.0021,0.29,0.69,0.28,0.2,0.15,0,tv kont2
P-GM-MB-34,P,GM,194,04/08/2016,29/09/2016,8,gt,1.7938,2.1733,1.2562,1.0541,0.744,496,1.0498,0.2064,0.0043,0.28,0.73,0.3,0.2,0.16,0,tv kont2
P-GM-MB-35,P,GM,195,04/08/2016,29/09/2016,8,gt,1.7891,2.181,1.3222,1.1096,0.718,479,1.0711,0.2511,0.0385,0.35,0.65,0.26,0.21,0.16,0,tv kont2
P-GM-MB-36,P,GM,196,04/08/2016,29/09/2016,8,gt,1.8334,2.2073,1.2802,1.1405,0.762,508,1.0714,0.2088,0.0691,0.27,0.72,0.3,0.14,0.11,0,tv kont1
P-GM-MB-37,P,GM,197,04/08/2016,29/09/2016,8,pm,1.2814,1.5261,1.1215,1.0303,0.201,134,1.0804,0.0411,-0.0501,0.2,0.36,0.12,0.09,0.08,0,tv kont1
P-GM-MB-38,P,GM,198,04/08/2016,29/09/2016,8,pm,1.8421,2.2283,1.4523,1.1089,0.741,494,1.1011,0.3512,0.0078,0.47,0.53,0.21,0.34,0.24,0,tv kont1
P-GM-MB-39,P,GM,199,04/08/2016,29/09/2016,8,pm,1.8673,2.254,1.4514,1.1734,0.69,460,1.1773,0.2741,-0.0039,0.4,0.55,0.22,0.28,0.19,0,tv kont1
P-GM-MB-4,P,GM,164,13/07/2016,02/11/2016,16,gt,1.2652,1.7534,1.0133,0.6062,0.707,471,0.5582,0.4551,0.048,0.64,0.73,0.2,0.41,0.4,0,plo kont2
P-GM-MB-40,P,GM,200,04/08/2016,29/09/2016,8,pm,1.8383,2.2144,1.4262,1.2116,0.778,519,1.0603,0.3659,0.1513,0.47,0.55,0.22,0.21,0.15,0,plo kont2
P-GM-MB-5,P,GM,165,13/07/2016,02/11/2016,16,gt,1.1248,1.7842,0.9622,0.6352,0.557,371,0.5678,0.3944,0.0674,0.71,0.85,0.14,0.33,0.34,0,plo kont2
P-GM-MB-6,P,GM,166,13/07/2016,02/11/2016,16,gt,1.2505,1.7593,0.9534,0.5912,0.716,477,0.5345,0.4189,0.0567,0.59,0.85,0.24,0.36,0.38,0,plo kont2
P-GM-MB-7,P,GM,167,13/07/2016,02/11/2016,16,gt,1.077,1.7957,0.9167,0.6017,0.503,335,0.574,0.3427,0.0277,0.68,0.96,0.15,0.32,0.34,0,plo kont1
P-GM-MB-8,P,GM,168,13/07/2016,02/11/2016,16,gt,1.2733,1.8032,0.9324,0.5782,0.725,483,0.5483,0.3841,0.0299,0.53,0.93,0.27,0.35,0.38,0,plo kont1
