Value,Dimension,Panel
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
-1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
0,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
1,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
2,boring-interesting,cleavedpattern
0,boring-interesting,singlebrown
2,boring-interesting,singlebrown
1,boring-interesting,singlebrown
2,boring-interesting,singlebrown
1,boring-interesting,singlebrown
0,boring-interesting,singlebrown
1,boring-interesting,singlebrown
1,boring-interesting,singlebrown
1,boring-interesting,singlebrown
0,boring-interesting,singlebrown
1,boring-interesting,singlebrown
0,boring-interesting,singlebrown
0,boring-interesting,singlebrown
2,boring-interesting,singlebrown
0,boring-interesting,singlebrown
0,boring-interesting,singlebrown
-2,boring-interesting,singlebrown
-2,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
2,boring-interesting,singlebrown
1,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
1,boring-interesting,singlebrown
1,boring-interesting,singlebrown
2,boring-interesting,singlebrown
0,boring-interesting,singlebrown
1,boring-interesting,singlebrown
0,boring-interesting,singlebrown
1,boring-interesting,singlebrown
2,boring-interesting,singlebrown
0,boring-interesting,singlebrown
1,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
0,boring-interesting,singlebrown
1,boring-interesting,singlebrown
2,boring-interesting,singlebrown
1,boring-interesting,singlebrown
1,boring-interesting,singlebrown
0,boring-interesting,singlebrown
1,boring-interesting,singlebrown
0,boring-interesting,singlebrown
0,boring-interesting,singlebrown
1,boring-interesting,singlebrown
2,boring-interesting,singlebrown
-2,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
2,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
1,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
-2,boring-interesting,singlebrown
-2,boring-interesting,singlebrown
0,boring-interesting,singlebrown
2,boring-interesting,singlebrown
-2,boring-interesting,singlebrown
0,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
2,boring-interesting,singlebrown
2,boring-interesting,singlebrown
0,boring-interesting,singlebrown
2,boring-interesting,singlebrown
0,boring-interesting,singlebrown
2,boring-interesting,singlebrown
1,boring-interesting,singlebrown
1,boring-interesting,singlebrown
2,boring-interesting,singlebrown
1,boring-interesting,singlebrown
2,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
2,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
-2,boring-interesting,singlebrown
1,boring-interesting,singlebrown
0,boring-interesting,singlebrown
